L1-icache-load-misses,branch-loads,dTLB-store-misses,L1-dcache-load-misses,bus-cycles,branch-instructions,LLC-load-misses,cpu-cycles,cache-references,dTLB-load-misses,L1-dcache-stores,branch-misses,LLC-stores,iTLB-load-misses,branch-load-misses,LLC-loads,L1-dcache-loads,cache-misses,LLC-store-misses,instructions
970513,7913585,162,107499,35096166,5594413,12454,69121545,18957714,160,16866051,587028,2145337,98,641004,2144453,16864969,125534,12815,46532001
418448,7528057,71,49029,35258998,5685419,12128,64821045,18039959,73,7375391,594941,2251779,55,684323,2252477,7376122,126575,11938,44367339
1110941,7964110,5,122795,27601653,4480984,12205,13987566,3727689,5,19679503,464236,2127977,7,685423,2127994,19679504,97850,12194,8768352
705956,7504569,3,78161,5172735,874941,12866,69934115,19605375,3,12558645,88989,2245035,1,722486,2245033,12558644,16980,12869,43100839
819335,7586702,3,89993,35066092,5717001,13618,69819515,19483254,3,14473571,592000,2215745,2,730253,2215699,14473572,123787,13621,43183190
490198,7446410,6,56870,22495612,3672254,11034,69895109,19660081,6,8667547,378718,2294719,1,698278,2294746,8667546,79948,11025,43439392
111018,8185020,3,12941,28228470,4599833,12574,69882016,19522477,3,2039453,477704,2070100,0,566651,2070139,2039454,103837,12575,42840056
26587,8125261,3,3757,27784942,4504520,2073,69877291,19620102,3,626115,468800,2234794,3,487660,2234813,626113,101895,2064,42903968
971475,8198239,1,104022,32223323,5269634,4747,69855820,19669495,1,16758058,539785,2157337,1,511971,2157306,16758060,117252,4755,43410710
1450063,8494042,0,146230,27914326,4558189,10277,69640122,19538858,0,19885689,469332,1984180,0,561148,1984183,19885688,102426,10280,43233223
1631571,8455000,0,166000,22703966,3686041,1808,69479079,19582225,0,19718610,384102,2139664,0,498898,2139685,19718609,82817,1787,44130338
1703329,8212855,0,168861,25854734,4183928,8766,42721548,11808246,0,19822199,437354,2124167,0,526571,2124158,19822200,94601,8790,28982708
1582871,5385329,0,167494,34912205,5684092,8876,69626674,19443496,0,19616369,588841,1209325,0,345574,1209303,19616368,123629,8868,47856811
1631148,39678,0,168000,28578478,4659632,1382,40239257,11278088,0,19633754,483308,9682,0,3592,9750,19633755,105451,1244,27759247
1673338,5604350,0,166298,9311802,1472807,11809,39049169,10778128,0,19891350,155580,1315345,0,388052,1315276,19891350,37214,11941,26422060
